 date | start | end | activity
 13 June 2017 | 1300 | 1400 | initial group planning meeting
 18 June 2017 | 1400 | 1530 | prepare scavenger hunt materials
 19 June 2017 | 1215 | 1245 | add details for hmac
 19 June 2017 | 1300 | 1345 | group planning meeting
 26 June 2017 | 1300 | 1400 | group planning meeting
 02 July 2017 | 1545 | 1800 | typeset clues, create auth materials
 07 July 2017 | 1410 | 1700 | typeset clues, design image
 11 July 2017 | 1500 | 1600 | group planning meeting
 21 July 2017 | 1330 | 1430 | group planning meeting
 21 July 2017 | 1900 | 2045 | cleaning up todos in clues
 22 July 2017 | 1645 | 1800 | more scavenger hunt
 23 July 2017 | 1330 | 1430 | final tweaks
 24 July 2017 | 0830 | 1215 | class 1 + prep
 25 July 2017 | 0845 | 1045 | class 2 + prep
 25 July 2017 | 1130 | 
